FROZEN DIRECT REPLAY 3 interior 1 min_ratio 2.5610337797013676 mass matrix difference 1.3600232051658168e-15
bin required mass slack ratio
1 0.00023124999999999998 0.0016241405938551101 0.0013928905938551102 7.0233106761302064
2 0.00085500000000000018 0.0012919634715649175 0.00043696347156491728 1.5110683877952247
3 0.00066375000000000006 0.0010568173059418505 0.0003930673059418504 1.5921917980291531
4 0.00077000000000000007 0.00097121076017660929 0.00020121076017660922 1.261312675554038
5 0.00085875000000000003 0.0009053448919439732 4.659489194397317e-05 1.0542589716960387
6 0.0015362500000000001 0.016798749026914531 0.015262499026914532 10.934905794574146
7 0.0012575000000000002 0.011706530842006515 0.010449030842006515 9.3093684628282407
8 0.0018737500000000004 0.040323891250330562 0.038450141250330562 21.520422281697428
9 0.0019450000000000003 0.02218945819778418 0.020244458197784181 11.40846179834662
10 0.0025987499999999999 0.017471503974875395 0.014872753974875395 6.7230414525735052
11 0.0028537500000000008 0.11977401715992268 0.11692026715992268 41.970746267165183
12 0.0030787500000000008 0.069198281026977865 0.06611953102697786 22.476096151677741
13 0.0023925000000000005 0.051254713808596496 0.048862213808596497 21.423077871931653
14 0.0026450000000000006 0.051620201070959257 0.048975201070959255 19.516144072196312
15 0.0030462499999999999 0.042666711642644163 0.039620461642644163 14.006306653309533
16 0.0038674999999999998 0.036567555974092808 0.032700055974092805 9.4550888103665951
17 0.0059675000000000023 0.043338525209495882 0.037371025209495881 7.2624256739833877
18 0.0072175000000000008 0.040971562734336504 0.033754062734336503 5.6766972960632494
19 0.0063000000000000026 0.036626434154311646 0.030326434154311643 5.8137197070335924
FROZEN DIRECT REPLAY 3 improved 2 min_ratio 1.0299999999995149 mass matrix difference 1.3877787807814457e-16
bin required mass slack ratio
0 0.00039250000000000005 0.003958854195912161 0.0035663541959121609 10.086252728438625
1 0.00023250000000000001 0.0016380466592287324 0.0014055466592287323 7.0453619751773431
2 0.00085249999999999996 0.0012639441217085507 0.00041144412170855075 1.4826324008311447
3 0.00066500000000000001 0.0010709302078614315 0.0004059302078614315 1.6104213652051602
4 0.00076500000000000005 0.00098012644332929342 0.00021512644332929336 1.281211037031756
5 0.00085625000000000002 0.00088193749999958455 2.5687499999584528e-05 1.0299999999995149
6 0.0015550000000000002 0.016769949801910322 0.015214949801910321 10.784533634669016
7 0.0012400000000000002 0.011714332598623679 0.01047433259862368 9.4470424182449015
8 0.0018943750000000002 0.040173914471565729 0.038279539471565732 21.20694924266089
9 0.0019337499999999999 0.022448939382603079 0.020515189382603077 11.609018426685497
10 0.0026231250000000005 0.01753154704658532 0.01490842204658532 6.6834584880954271
11 0.0028231250000000005 0.11985520361999971 0.11703207861999972 42.454798714190723
12 0.00309625 0.069016778919137559 0.065920528919137564 22.290441314214796
13 0.0023787500000000002 0.051297438743966715 0.048918688743966716 21.564871778861466
14 0.0026337500000000007 0.051536502645217468 0.04890275264521747 19.567727629887976
15 0.0030406250000000008 0.042523781472679482 0.039483156472679484 13.985210761826753
16 0.0039000000000000007 0.036939626566440717 0.033039626566440716 9.4716991196001814
17 0.0059456249999999995 0.04274450771846678 0.036798882718466777 7.1892370807891153
18 0.0072312500000000024 0.041133710891019505 0.033902460891019504 5.6883264844970771
19 0.0062793750000000028 0.036634395153107568 0.030355020153107565 5.8340830342362979
FROZEN DIRECT REPLAY 4 interior 1 min_ratio 1.4774943452551497 mass matrix difference 7.077671781985373e-16
bin required mass slack ratio
0 0.00065750000000000021 0.0088881082437213682 0.0082306082437213681 13.518035351667477
1 0.00086750000000000011 0.0051079524499147563 0.0042404524499147561 5.8881296252619659
2 0.00060000000000000006 0.0035362717745253984 0.0029362717745253985 5.8937862908756635
3 0.00106875 0.0030518834504877062 0.0019831334504877059 2.8555634624446373
4 0.0009025000000000002 0.0026666510290375579 0.0017641510290375578 2.954737982313083
5 0.0013400000000000003 0.0022048740550104362 0.00086487405501043594 1.6454283992615193
6 0.0020025000000000004 0.003152960321951487 0.0011504603219514866 1.5745120209495562
7 0.0025600000000000002 0.0040597822967268398 0.0014997822967268396 1.5858524596589216
8 0.0028700000000000002 0.0042404087708822801 0.0013704087708822799 1.4774943452551497
9 0.0043175000000000019 0.0083916230448979005 0.0040741230448978986 1.9436301204164208
10 0.003786250000000001 0.0064914985402063502 0.0027052485402063492 1.7144928465384877
11 0.0044762500000000002 0.0091941842254204195 0.0047179342254204193 2.0539925664161784
12 0.0049287499999999991 0.0072822002541764108 0.0023534502541764117 1.4774943452551685
13 0.0049300000000000004 0.021508494843950121 0.016578494843950121 4.3627778588134118
14 0.0056625000000000017 0.028551631690697802 0.022889131690697801 5.0422307621541353
15 0.0086462500000000029 0.071116459848919927 0.062470209848919926 8.2251218561711621
